trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.995, 'e': 0.5590843898207511}",20,3,-92.74061849060448,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 1}",1
118,False,"{'a': 0.995, 'e': 0.5562889678716474}",25,0,-46.07133400789069,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
119,False,"{'a': 0.995, 'e': 0.5535075230322892}",20,10,-3.4885126108901803,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.995, 'e': 0.5507399854171278}",20,0,-69.36505682250198,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.995, 'e': 0.5479862854900421}",20,1,-130.99887813100227,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 3}",1
122,False,"{'a': 0.995, 'e': 0.5452463540625919}",30,0,-4.1697428961947605,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.995, 'e': 0.542520122292279}",30,0,-44.8662926546673,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
124,False,"{'a': 0.995, 'e': 0.5398075216808176}",25,0,-109.26905533184487,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
125,False,"{'a': 0.995, 'e': 0.5371084840724134}",30,0,-61.463170009532,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
126,False,"{'a': 0.995, 'e': 0.5344229416520514}",25,10,20.262765001898096,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.995, 'e': 0.5317508269437912}",20,0,-76.75379674934092,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
128,False,"{'a': 0.995, 'e': 0.5290920728090721}",20,0,-45.28952074264134,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
129,False,"{'a': 0.995, 'e': 0.5264466124450268}",25,0,-4.390872143875743,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.995, 'e': 0.5238143793828016}",20,4,-17.717404725698575,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.995, 'e': 0.5211953074858876}",20,0,-123.05166646667496,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
132,False,"{'a': 0.995, 'e': 0.5185893309484582}",25,8,-25.095253565329635,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.995, 'e': 0.515996384293716}",20,0,-80.5454624135498,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
134,False,"{'a': 0.995, 'e': 0.5134164023722474}",20,1,7.268114760675366,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.995, 'e': 0.5108493203603861}",20,11,11.396207663006134,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.995, 'e': 0.5082950737585842}",25,18,-41.53944557062667,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.995, 'e': 0.5057535983897913}",20,0,-104.13719957473154,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
138,False,"{'a': 0.995, 'e': 0.5032248303978423}",20,0,-12.268079241843921,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
139,False,"{'a': 0.995, 'e': 0.5007087062458531}",20,0,-59.5918998841163,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
140,False,"{'a': 0.995, 'e': 0.4982051627146238}",30,0,-45.347139640261275,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
141,False,"{'a': 0.995, 'e': 0.4957141369010507}",20,16,8.102330368241425,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.995, 'e': 0.4932355662165454}",25,16,17.142941299942017,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.995, 'e': 0.4907693883854627}",30,0,-19.557683676700997,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
144,False,"{'a': 0.995, 'e': 0.4883155414435354}",20,0,-150.99103023951702,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
145,False,"{'a': 0.995, 'e': 0.4858739637363177}",20,14,12.738156855231509,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.995, 'e': 0.4834445939176361}",25,17,-10.324013753184794,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.995, 'e': 0.4810273709480479}",25,0,-90.56544758316322,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
148,False,"{'a': 0.995, 'e': 0.4786222340933077}",20,0,-54.01384108554736,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.995, 'e': 0.47622912292284114}",20,11,-6.205947375401085,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
150,False,"{'a': 0.995, 'e': 0.4738479773082269}",20,0,-159.29676754665797,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 3}",0
151,False,"{'a': 0.995, 'e': 0.4714787374216858}",25,13,5.722246703765288,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.995, 'e': 0.46912134373457737}",20,0,-32.51597350074475,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
153,False,"{'a': 0.995, 'e': 0.46677573701590447}",25,0,-9.401694115308487,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
154,False,"{'a': 0.995, 'e': 0.46444185833082496}",20,0,-62.07316020408391,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
155,False,"{'a': 0.995, 'e': 0.46211964903917085}",35,0,-147.18588404612552,"{0: 24, 1: 1, 2: 7, 3: 1, 4: 2}",0
156,False,"{'a': 0.995, 'e': 0.459809050793975}",20,0,-11.41249882017705,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
157,False,"{'a': 0.995, 'e': 0.4575100055400051}",25,0,-43.1422418316921,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
